id,survived,class,sex,age,sib_sp_onboard,par_ch_onboard,fare,cabin,port
92,FALSE,3,male,20,0,0,7.8542,,S
93,FALSE,1,male,46,1,0,61.175,E31,S
94,FALSE,3,male,26,1,2,20.575,,S
95,FALSE,3,male,59,0,0,7.25,,S
96,FALSE,3,male,NA,0,0,8.05,,S
97,FALSE,1,male,71,0,0,34.6542,A5,C
98,TRUE,1,male,23,0,1,63.3583,D10 D12,C
99,TRUE,2,female,34,0,1,23,,S
100,FALSE,2,male,34,1,0,26,,S
101,FALSE,3,female,28,0,0,7.8958,,S
102,FALSE,3,male,NA,0,0,7.8958,,S
103,FALSE,1,male,21,0,1,77.2875,D26,S
104,FALSE,3,male,33,0,0,8.6542,,S
105,FALSE,3,male,37,2,0,7.925,,S
106,FALSE,3,male,28,0,0,7.8958,,S
107,TRUE,3,female,21,0,0,7.65,,S
108,TRUE,3,male,NA,0,0,7.775,,S
109,FALSE,3,male,38,0,0,7.8958,,S
110,TRUE,3,female,NA,1,0,24.15,,Q
111,FALSE,1,male,47,0,0,52,C110,S
112,FALSE,3,female,14.5,1,0,14.4542,,C
113,FALSE,3,male,22,0,0,8.05,,S
114,FALSE,3,female,20,1,0,9.825,,S
115,FALSE,3,female,17,0,0,14.4583,,C
116,FALSE,3,male,21,0,0,7.925,,S
117,FALSE,3,male,70.5,0,0,7.75,,Q
118,FALSE,2,male,29,1,0,21,,S
119,FALSE,1,male,24,0,1,247.5208,B58 B60,C
120,FALSE,3,female,2,4,2,31.275,,S
121,FALSE,2,male,21,2,0,73.5,,S
122,FALSE,3,male,NA,0,0,8.05,,S
123,FALSE,2,male,32.5,1,0,30.0708,,C
124,TRUE,2,female,32.5,0,0,13,E101,S
125,FALSE,1,male,54,0,1,77.2875,D26,S
126,TRUE,3,male,12,1,0,11.2417,,C
127,FALSE,3,male,NA,0,0,7.75,,Q
128,TRUE,3,male,24,0,0,7.1417,,S
129,TRUE,3,female,NA,1,1,22.3583,F E69,C
130,FALSE,3,male,45,0,0,6.975,,S
131,FALSE,3,male,33,0,0,7.8958,,C
132,FALSE,3,male,20,0,0,7.05,,S
133,FALSE,3,female,47,1,0,14.5,,S
134,TRUE,2,female,29,1,0,26,,S
135,FALSE,2,male,25,0,0,13,,S
136,FALSE,2,male,23,0,0,15.0458,,C
137,TRUE,1,female,19,0,2,26.2833,D47,S
138,FALSE,1,male,37,1,0,53.1,C123,S
139,FALSE,3,male,16,0,0,9.2167,,S
140,FALSE,1,male,24,0,0,79.2,B86,C
141,FALSE,3,female,NA,0,2,15.2458,,C
142,TRUE,3,female,22,0,0,7.75,,S
143,TRUE,3,female,24,1,0,15.85,,S
144,FALSE,3,male,19,0,0,6.75,,Q
145,FALSE,2,male,18,0,0,11.5,,S
146,FALSE,2,male,19,1,1,36.75,,S
147,TRUE,3,male,27,0,0,7.7958,,S
148,FALSE,3,female,9,2,2,34.375,,S
149,FALSE,2,male,36.5,0,2,26,F2,S
150,FALSE,2,male,42,0,0,13,,S
151,FALSE,2,male,51,0,0,12.525,,S
152,TRUE,1,female,22,1,0,66.6,C2,S
153,FALSE,3,male,55.5,0,0,8.05,,S
154,FALSE,3,male,40.5,0,2,14.5,,S
155,FALSE,3,male,NA,0,0,7.3125,,S
156,FALSE,1,male,51,0,1,61.3792,,C
157,TRUE,3,female,16,0,0,7.7333,,Q
158,FALSE,3,male,30,0,0,8.05,,S
159,FALSE,3,male,NA,0,0,8.6625,,S
160,FALSE,3,male,NA,8,2,69.55,,S
161,FALSE,3,male,44,0,1,16.1,,S
162,TRUE,2,female,40,0,0,15.75,,S
163,FALSE,3,male,26,0,0,7.775,,S
164,FALSE,3,male,17,0,0,8.6625,,S
165,FALSE,3,male,1,4,1,39.6875,,S
166,TRUE,3,male,9,0,2,20.525,,S
167,TRUE,1,female,NA,0,1,55,E33,S
168,FALSE,3,female,45,1,4,27.9,,S
169,FALSE,1,male,NA,0,0,25.925,,S
170,FALSE,3,male,28,0,0,56.4958,,S
171,FALSE,1,male,61,0,0,33.5,B19,S
172,FALSE,3,male,4,4,1,29.125,,Q
173,TRUE,3,female,1,1,1,11.1333,,S
174,FALSE,3,male,21,0,0,7.925,,S
175,FALSE,1,male,56,0,0,30.6958,A7,C
176,FALSE,3,male,18,1,1,7.8542,,S
177,FALSE,3,male,NA,3,1,25.4667,,S
178,FALSE,1,female,50,0,0,28.7125,C49,C
179,FALSE,2,male,30,0,0,13,,S
180,FALSE,3,male,36,0,0,0,,S
181,FALSE,3,female,NA,8,2,69.55,,S
182,FALSE,2,male,NA,0,0,15.05,,C
183,FALSE,3,male,9,4,2,31.3875,,S
184,TRUE,2,male,1,2,1,39,F4,S
185,TRUE,3,female,4,0,2,22.025,,S
186,FALSE,1,male,NA,0,0,50,A32,S
187,TRUE,3,female,NA,1,0,15.5,,Q
188,TRUE,1,male,45,0,0,26.55,,S
189,FALSE,3,male,40,1,1,15.5,,Q
190,FALSE,3,male,36,0,0,7.8958,,S
191,TRUE,2,female,32,0,0,13,,S
192,FALSE,2,male,19,0,0,13,,S
193,TRUE,3,female,19,1,0,7.8542,,S
194,TRUE,2,male,3,1,1,26,F2,S
195,TRUE,1,female,44,0,0,27.7208,B4,C
196,TRUE,1,female,58,0,0,146.5208,B80,C
197,FALSE,3,male,NA,0,0,7.75,,Q
198,FALSE,3,male,42,0,1,8.4042,,S
199,TRUE,3,female,NA,0,0,7.75,,Q
200,FALSE,2,female,24,0,0,13,,S
201,FALSE,3,male,28,0,0,9.5,,S
202,FALSE,3,male,NA,8,2,69.55,,S
203,FALSE,3,male,34,0,0,6.4958,,S
204,FALSE,3,male,45.5,0,0,7.225,,C
205,TRUE,3,male,18,0,0,8.05,,S
206,FALSE,3,female,2,0,1,10.4625,G6,S
207,FALSE,3,male,32,1,0,15.85,,S
208,TRUE,3,male,26,0,0,18.7875,,C
209,TRUE,3,female,16,0,0,7.75,,Q
210,TRUE,1,male,40,0,0,31,A31,C
211,FALSE,3,male,24,0,0,7.05,,S
212,TRUE,2,female,35,0,0,21,,S
213,FALSE,3,male,22,0,0,7.25,,S
214,FALSE,2,male,30,0,0,13,,S
215,FALSE,3,male,NA,1,0,7.75,,Q
216,TRUE,1,female,31,1,0,113.275,D36,C
217,TRUE,3,female,27,0,0,7.925,,S
218,FALSE,2,male,42,1,0,27,,S
219,TRUE,1,female,32,0,0,76.2917,D15,C
220,FALSE,2,male,30,0,0,10.5,,S
221,TRUE,3,male,16,0,0,8.05,,S
222,FALSE,2,male,27,0,0,13,,S
223,FALSE,3,male,51,0,0,8.05,,S
224,FALSE,3,male,NA,0,0,7.8958,,S
225,TRUE,1,male,38,1,0,90,C93,S
226,FALSE,3,male,22,0,0,9.35,,S
227,TRUE,2,male,19,0,0,10.5,,S
228,FALSE,3,male,20.5,0,0,7.25,,S
229,FALSE,2,male,18,0,0,13,,S
230,FALSE,3,female,NA,3,1,25.4667,,S
231,TRUE,1,female,35,1,0,83.475,C83,S
232,FALSE,3,male,29,0,0,7.775,,S
233,FALSE,2,male,59,0,0,13.5,,S
234,TRUE,3,female,5,4,2,31.3875,,S
235,FALSE,2,male,24,0,0,10.5,,S
236,FALSE,3,female,NA,0,0,7.55,,S
237,FALSE,2,male,44,1,0,26,,S
238,TRUE,2,female,8,0,2,26.25,,S
239,FALSE,2,male,19,0,0,10.5,,S
240,FALSE,2,male,33,0,0,12.275,,S
241,FALSE,3,female,NA,1,0,14.4542,,C
242,TRUE,3,female,NA,1,0,15.5,,Q
243,FALSE,2,male,29,0,0,10.5,,S
244,FALSE,3,male,22,0,0,7.125,,S
245,FALSE,3,male,30,0,0,7.225,,C
246,FALSE,1,male,44,2,0,90,C78,Q
247,FALSE,3,female,25,0,0,7.775,,S
248,TRUE,2,female,24,0,2,14.5,,S
249,TRUE,1,male,37,1,1,52.5542,D35,S
250,FALSE,2,male,54,1,0,26,,S
251,FALSE,3,male,NA,0,0,7.25,,S
252,FALSE,3,female,29,1,1,10.4625,G6,S
253,FALSE,1,male,62,0,0,26.55,C87,S
254,FALSE,3,male,30,1,0,16.1,,S
255,FALSE,3,female,41,0,2,20.2125,,S
256,TRUE,3,female,29,0,2,15.2458,,C
257,TRUE,1,female,NA,0,0,79.2,,C
258,TRUE,1,female,30,0,0,86.5,B77,S
259,TRUE,1,female,35,0,0,512.3292,,C
260,TRUE,2,female,50,0,1,26,,S
261,FALSE,3,male,NA,0,0,7.75,,Q
262,TRUE,3,male,3,4,2,31.3875,,S
263,FALSE,1,male,52,1,1,79.65,E67,S
264,FALSE,1,male,40,0,0,0,B94,S
265,FALSE,3,female,NA,0,0,7.75,,Q
266,FALSE,2,male,36,0,0,10.5,,S
267,FALSE,3,male,16,4,1,39.6875,,S
268,TRUE,3,male,25,1,0,7.775,,S
269,TRUE,1,female,58,0,1,153.4625,C125,S
270,TRUE,1,female,35,0,0,135.6333,C99,S
271,FALSE,1,male,NA,0,0,31,,S
272,TRUE,3,male,25,0,0,0,,S
273,TRUE,2,female,41,0,1,19.5,,S
274,FALSE,1,male,37,0,1,29.7,C118,C
275,TRUE,3,female,NA,0,0,7.75,,Q
276,TRUE,1,female,63,1,0,77.9583,D7,S
277,FALSE,3,female,45,0,0,7.75,,S
278,FALSE,2,male,NA,0,0,0,,S
279,FALSE,3,male,7,4,1,29.125,,Q
280,TRUE,3,female,35,1,1,20.25,,S
281,FALSE,3,male,65,0,0,7.75,,Q
282,FALSE,3,male,28,0,0,7.8542,,S
283,FALSE,3,male,16,0,0,9.5,,S
284,TRUE,3,male,19,0,0,8.05,,S
285,FALSE,1,male,NA,0,0,26,A19,S
286,FALSE,3,male,33,0,0,8.6625,,C
287,TRUE,3,male,30,0,0,9.5,,S
288,FALSE,3,male,22,0,0,7.8958,,S
289,TRUE,2,male,42,0,0,13,,S
290,TRUE,3,female,22,0,0,7.75,,Q
291,TRUE,1,female,26,0,0,78.85,,S
292,TRUE,1,female,19,1,0,91.0792,B49,C
293,FALSE,2,male,36,0,0,12.875,D,C
294,FALSE,3,female,24,0,0,8.85,,S
295,FALSE,3,male,24,0,0,7.8958,,S
296,FALSE,1,male,NA,0,0,27.7208,,C
297,FALSE,3,male,23.5,0,0,7.2292,,C
298,FALSE,1,female,2,1,2,151.55,C22 C26,S
299,TRUE,1,male,NA,0,0,30.5,C106,S
300,TRUE,1,female,50,0,1,247.5208,B58 B60,C
301,TRUE,3,female,NA,0,0,7.75,,Q
302,TRUE,3,male,NA,2,0,23.25,,Q
303,FALSE,3,male,19,0,0,0,,S
304,TRUE,2,female,NA,0,0,12.35,E101,Q
305,FALSE,3,male,NA,0,0,8.05,,S
306,TRUE,1,male,0.92,1,2,151.55,C22 C26,S
307,TRUE,1,female,NA,0,0,110.8833,,C
308,TRUE,1,female,17,1,0,108.9,C65,C
309,FALSE,2,male,30,1,0,24,,C
310,TRUE,1,female,30,0,0,56.9292,E36,C
311,TRUE,1,female,24,0,0,83.1583,C54,C
312,TRUE,1,female,18,2,2,262.375,B57 B59 B63 B66,C
313,FALSE,2,female,26,1,1,26,,S
314,FALSE,3,male,28,0,0,7.8958,,S
315,FALSE,2,male,43,1,1,26.25,,S
316,TRUE,3,female,26,0,0,7.8542,,S
317,TRUE,2,female,24,1,0,26,,S
318,FALSE,2,male,54,0,0,14,,S
319,TRUE,1,female,31,0,2,164.8667,C7,S
320,TRUE,1,female,40,1,1,134.5,E34,C
321,FALSE,3,male,22,0,0,7.25,,S
322,FALSE,3,male,27,0,0,7.8958,,S
323,TRUE,2,female,30,0,0,12.35,,Q
324,TRUE,2,female,22,1,1,29,,S
325,FALSE,3,male,NA,8,2,69.55,,S
326,TRUE,1,female,36,0,0,135.6333,C32,C
327,FALSE,3,male,61,0,0,6.2375,,S
328,TRUE,2,female,36,0,0,13,D,S
329,TRUE,3,female,31,1,1,20.525,,S
330,TRUE,1,female,16,0,1,57.9792,B18,C
331,TRUE,3,female,NA,2,0,23.25,,Q
332,FALSE,1,male,45.5,0,0,28.5,C124,S
333,FALSE,1,male,38,0,1,153.4625,C91,S
334,FALSE,3,male,16,2,0,18,,S
335,TRUE,1,female,NA,1,0,133.65,,S
336,FALSE,3,male,NA,0,0,7.8958,,S
337,FALSE,1,male,29,1,0,66.6,C2,S
338,TRUE,1,female,41,0,0,134.5,E40,C
339,TRUE,3,male,45,0,0,8.05,,S
340,FALSE,1,male,45,0,0,35.5,T,S
341,TRUE,2,male,2,1,1,26,F2,S
342,TRUE,1,female,24,3,2,263,C23 C25 C27,S
343,FALSE,2,male,28,0,0,13,,S
344,FALSE,2,male,25,0,0,13,,S
345,FALSE,2,male,36,0,0,13,,S
346,TRUE,2,female,24,0,0,13,F33,S
347,TRUE,2,female,40,0,0,13,,S
348,TRUE,3,female,NA,1,0,16.1,,S
349,TRUE,3,male,3,1,1,15.9,,S
350,FALSE,3,male,42,0,0,8.6625,,S
351,FALSE,3,male,23,0,0,9.225,,S
352,FALSE,1,male,NA,0,0,35,C128,S
353,FALSE,3,male,15,1,1,7.2292,,C
354,FALSE,3,male,25,1,0,17.8,,S
355,FALSE,3,male,NA,0,0,7.225,,C
356,FALSE,3,male,28,0,0,9.5,,S
357,TRUE,1,female,22,0,1,55,E33,S
358,FALSE,2,female,38,0,0,13,,S
359,TRUE,3,female,NA,0,0,7.8792,,Q
360,TRUE,3,female,NA,0,0,7.8792,,Q
361,FALSE,3,male,40,1,4,27.9,,S
362,FALSE,2,male,29,1,0,27.7208,,C
363,FALSE,3,female,45,0,1,14.4542,,C
364,FALSE,3,male,35,0,0,7.05,,S
365,FALSE,3,male,NA,1,0,15.5,,Q
366,FALSE,3,male,30,0,0,7.25,,S
367,TRUE,1,female,60,1,0,75.25,D37,C
368,TRUE,3,female,NA,0,0,7.2292,,C
369,TRUE,3,female,NA,0,0,7.75,,Q
370,TRUE,1,female,24,0,0,69.3,B35,C
371,TRUE,1,male,25,1,0,55.4417,E50,C
372,FALSE,3,male,18,1,0,6.4958,,S
373,FALSE,3,male,19,0,0,8.05,,S
374,FALSE,1,male,22,0,0,135.6333,,C
375,FALSE,3,female,3,3,1,21.075,,S
376,TRUE,1,female,NA,1,0,82.1708,,C
377,TRUE,3,female,22,0,0,7.25,,S
378,FALSE,1,male,27,0,2,211.5,C82,C
379,FALSE,3,male,20,0,0,4.0125,,C
380,FALSE,3,male,19,0,0,7.775,,S
381,TRUE,1,female,42,0,0,227.525,,C
382,TRUE,3,female,1,0,2,15.7417,,C
383,FALSE,3,male,32,0,0,7.925,,S
384,TRUE,1,female,35,1,0,52,,S
385,FALSE,3,male,NA,0,0,7.8958,,S
386,FALSE,2,male,18,0,0,73.5,,S
387,FALSE,3,male,1,5,2,46.9,,S
388,TRUE,2,female,36,0,0,13,,S
389,FALSE,3,male,NA,0,0,7.7292,,Q
390,TRUE,2,female,17,0,0,12,,C
391,TRUE,1,male,36,1,2,120,B96 B98,S
392,TRUE,3,male,21,0,0,7.7958,,S
393,FALSE,3,male,28,2,0,7.925,,S
394,TRUE,1,female,23,1,0,113.275,D36,C
395,TRUE,3,female,24,0,2,16.7,G6,S
396,FALSE,3,male,22,0,0,7.7958,,S
397,FALSE,3,female,31,0,0,7.8542,,S
398,FALSE,2,male,46,0,0,26,,S
399,FALSE,2,male,23,0,0,10.5,,S
400,TRUE,2,female,28,0,0,12.65,,S
401,TRUE,3,male,39,0,0,7.925,,S
402,FALSE,3,male,26,0,0,8.05,,S
403,FALSE,3,female,21,1,0,9.825,,S
404,FALSE,3,male,28,1,0,15.85,,S
405,FALSE,3,female,20,0,0,8.6625,,S
406,FALSE,2,male,34,1,0,21,,S
407,FALSE,3,male,51,0,0,7.75,,S
408,TRUE,2,male,3,1,1,18.75,,S
409,FALSE,3,male,21,0,0,7.775,,S
410,FALSE,3,female,NA,3,1,25.4667,,S
411,FALSE,3,male,NA,0,0,7.8958,,S
412,FALSE,3,male,NA,0,0,6.8583,,Q
413,TRUE,1,female,33,1,0,90,C78,Q
414,FALSE,2,male,NA,0,0,0,,S
415,TRUE,3,male,44,0,0,7.925,,S
416,FALSE,3,female,NA,0,0,8.05,,S
417,TRUE,2,female,34,1,1,32.5,,S
418,TRUE,2,female,18,0,2,13,,S
419,FALSE,2,male,30,0,0,13,,S
420,FALSE,3,female,10,0,2,24.15,,S
421,FALSE,3,male,NA,0,0,7.8958,,C
422,FALSE,3,male,21,0,0,7.7333,,Q
423,FALSE,3,male,29,0,0,7.875,,S
424,FALSE,3,female,28,1,1,14.4,,S
425,FALSE,3,male,18,1,1,20.2125,,S
426,FALSE,3,male,NA,0,0,7.25,,S
427,TRUE,2,female,28,1,0,26,,S
428,TRUE,2,female,19,0,0,26,,S
429,FALSE,3,male,NA,0,0,7.75,,Q
430,TRUE,3,male,32,0,0,8.05,E10,S
431,TRUE,1,male,28,0,0,26.55,C52,S
432,TRUE,3,female,NA,1,0,16.1,,S
433,TRUE,2,female,42,1,0,26,,S
434,FALSE,3,male,17,0,0,7.125,,S
435,FALSE,1,male,50,1,0,55.9,E44,S
436,TRUE,1,female,14,1,2,120,B96 B98,S
437,FALSE,3,female,21,2,2,34.375,,S
438,TRUE,2,female,24,2,3,18.75,,S
439,FALSE,1,male,64,1,4,263,C23 C25 C27,S
440,FALSE,2,male,31,0,0,10.5,,S
441,TRUE,2,female,45,1,1,26.25,,S
442,FALSE,3,male,20,0,0,9.5,,S
443,FALSE,3,male,25,1,0,7.775,,S
444,TRUE,2,female,28,0,0,13,,S
445,TRUE,3,male,NA,0,0,8.1125,,S
446,TRUE,1,male,4,0,2,81.8583,A34,S
447,TRUE,2,female,13,0,1,19.5,,S
448,TRUE,1,male,34,0,0,26.55,,S
449,TRUE,3,female,5,2,1,19.2583,,C
450,TRUE,1,male,52,0,0,30.5,C104,S
451,FALSE,2,male,36,1,2,27.75,,S
452,FALSE,3,male,NA,1,0,19.9667,,S
453,FALSE,1,male,30,0,0,27.75,C111,C
454,TRUE,1,male,49,1,0,89.1042,C92,C
455,FALSE,3,male,NA,0,0,8.05,,S
456,TRUE,3,male,29,0,0,7.8958,,C
457,FALSE,1,male,65,0,0,26.55,E38,S
458,TRUE,1,female,NA,1,0,51.8625,D21,S
459,TRUE,2,female,50,0,0,10.5,,S
460,FALSE,3,male,NA,0,0,7.75,,Q
461,TRUE,1,male,48,0,0,26.55,E12,S
462,FALSE,3,male,34,0,0,8.05,,S
463,FALSE,1,male,47,0,0,38.5,E63,S
464,FALSE,2,male,48,0,0,13,,S
465,FALSE,3,male,NA,0,0,8.05,,S
466,FALSE,3,male,38,0,0,7.05,,S
467,FALSE,2,male,NA,0,0,0,,S
468,FALSE,1,male,56,0,0,26.55,,S
469,FALSE,3,male,NA,0,0,7.725,,Q
470,TRUE,3,female,0.75,2,1,19.2583,,C
471,FALSE,3,male,NA,0,0,7.25,,S
472,FALSE,3,male,38,0,0,8.6625,,S
473,TRUE,2,female,33,1,2,27.75,,S
474,TRUE,2,female,23,0,0,13.7917,D,C
475,FALSE,3,female,22,0,0,9.8375,,S
476,FALSE,1,male,NA,0,0,52,A14,S
477,FALSE,2,male,34,1,0,21,,S
478,FALSE,3,male,29,1,0,7.0458,,S
479,FALSE,3,male,22,0,0,7.5208,,S
480,TRUE,3,female,2,0,1,12.2875,,S
481,FALSE,3,male,9,5,2,46.9,,S
482,FALSE,2,male,NA,0,0,0,,S
483,FALSE,3,male,50,0,0,8.05,,S
484,TRUE,3,female,63,0,0,9.5875,,S
485,TRUE,1,male,25,1,0,91.0792,B49,C
486,FALSE,3,female,NA,3,1,25.4667,,S
487,TRUE,1,female,35,1,0,90,C93,S
488,FALSE,1,male,58,0,0,29.7,B37,C
489,FALSE,3,male,30,0,0,8.05,,S
490,TRUE,3,male,9,1,1,15.9,,S
491,FALSE,3,male,NA,1,0,19.9667,,S
492,FALSE,3,male,21,0,0,7.25,,S
493,FALSE,1,male,55,0,0,30.5,C30,S
494,FALSE,1,male,71,0,0,49.5042,,C
495,FALSE,3,male,21,0,0,8.05,,S
496,FALSE,3,male,NA,0,0,14.4583,,C
497,TRUE,1,female,54,1,0,78.2667,D20,C
498,FALSE,3,male,NA,0,0,15.1,,S
499,FALSE,1,female,25,1,2,151.55,C22 C26,S
500,FALSE,3,male,24,0,0,7.7958,,S
501,FALSE,3,male,17,0,0,8.6625,,S
502,FALSE,3,female,21,0,0,7.75,,Q
503,FALSE,3,female,NA,0,0,7.6292,,Q
504,FALSE,3,female,37,0,0,9.5875,,S
505,TRUE,1,female,16,0,0,86.5,B79,S
506,FALSE,1,male,18,1,0,108.9,C65,C
507,TRUE,2,female,33,0,2,26,,S
508,TRUE,1,male,NA,0,0,26.55,,S
509,FALSE,3,male,28,0,0,22.525,,S
510,TRUE,3,male,26,0,0,56.4958,,S
511,TRUE,3,male,29,0,0,7.75,,Q
512,FALSE,3,male,NA,0,0,8.05,,S
513,TRUE,1,male,36,0,0,26.2875,E25,S
514,TRUE,1,female,54,1,0,59.4,,C
515,FALSE,3,male,24,0,0,7.4958,,S
516,FALSE,1,male,47,0,0,34.0208,D46,S
517,TRUE,2,female,34,0,0,10.5,F33,S
518,FALSE,3,male,NA,0,0,24.15,,Q
519,TRUE,2,female,36,1,0,26,,S
520,FALSE,3,male,32,0,0,7.8958,,S
521,TRUE,1,female,30,0,0,93.5,B73,S
522,FALSE,3,male,22,0,0,7.8958,,S
523,FALSE,3,male,NA,0,0,7.225,,C
524,TRUE,1,female,44,0,1,57.9792,B18,C
525,FALSE,3,male,NA,0,0,7.2292,,C
526,FALSE,3,male,40.5,0,0,7.75,,Q
527,TRUE,2,female,50,0,0,10.5,,S
528,FALSE,1,male,NA,0,0,221.7792,C95,S
529,FALSE,3,male,39,0,0,7.925,,S
530,FALSE,2,male,23,2,1,11.5,,S
531,TRUE,2,female,2,1,1,26,,S
532,FALSE,3,male,NA,0,0,7.2292,,C
533,FALSE,3,male,17,1,1,7.2292,,C
534,TRUE,3,female,NA,0,2,22.3583,,C
535,FALSE,3,female,30,0,0,8.6625,,S
536,TRUE,2,female,7,0,2,26.25,,S
537,FALSE,1,male,45,0,0,26.55,B38,S
538,TRUE,1,female,30,0,0,106.425,,C
539,FALSE,3,male,NA,0,0,14.5,,S
540,TRUE,1,female,22,0,2,49.5,B39,C
541,TRUE,1,female,36,0,2,71,B22,S
542,FALSE,3,female,9,4,2,31.275,,S
543,FALSE,3,female,11,4,2,31.275,,S
544,TRUE,2,male,32,1,0,26,,S
545,FALSE,1,male,50,1,0,106.425,C86,C
546,FALSE,1,male,64,0,0,26,,S
547,TRUE,2,female,19,1,0,26,,S
548,TRUE,2,male,NA,0,0,13.8625,,C
549,FALSE,3,male,33,1,1,20.525,,S
550,TRUE,2,male,8,1,1,36.75,,S
551,TRUE,1,male,17,0,2,110.8833,C70,C
552,FALSE,2,male,27,0,0,26,,S
553,FALSE,3,male,NA,0,0,7.8292,,Q
554,TRUE,3,male,22,0,0,7.225,,C
555,TRUE,3,female,22,0,0,7.775,,S
556,FALSE,1,male,62,0,0,26.55,,S
557,TRUE,1,female,48,1,0,39.6,A16,C
558,FALSE,1,male,NA,0,0,227.525,,C
559,TRUE,1,female,39,1,1,79.65,E67,S
